metric,algorithm_A,algorithm_B,median_difference_A_minus_MO,wilcoxon_statistic,p_raw,rank_biserial_A_minus_MO,wins_MO,wins_A,ties,p_holm,significant_holm_0_05
sec_abs_corr,HHO-VC,MO-BDA-EHHO-VC,-1.9488118414850097e-05,2472.0,0.8554012757415651,0.02099009900990099,47,53,0,1.0,False
sec_abs_corr,EHHO-VC,MO-BDA-EHHO-VC,3.1564057993501045e-06,2414.0,0.7027179816787763,-0.04396039603960396,51,49,0,1.0,False
sec_abs_corr,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,-2.210111347785023e-05,2445.0,0.7832655420427076,-0.031683168316831684,50,50,0,1.0,False
sec_abs_corr,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,-2.9848643414250118e-05,2293.0,0.4250496167958784,-0.09188118811881188,47,53,0,1.0,False
sec_nmi,HHO-VC,MO-BDA-EHHO-VC,-7.598006593257967e-08,2357.0,0.5635081585027861,-0.06653465346534654,48,52,0,1.0,False
sec_nmi,EHHO-VC,MO-BDA-EHHO-VC,-1.9778223093274946e-08,2391.0,0.6449883613873455,-0.05306930693069307,49,51,0,1.0,False
sec_nmi,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,-3.485916759916663e-08,2485.0,0.8906095152877423,0.015841584158415842,50,50,0,1.0,False
sec_nmi,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,-1.3042963402985048e-08,2491.0,0.9069368853915614,-0.013465346534653465,49,51,0,1.0,False
sec_hist_overlap,HHO-VC,MO-BDA-EHHO-VC,0.0,0.0,,0.0,0,0,100,0.0,True
sec_hist_overlap,EHHO-VC,MO-BDA-EHHO-VC,0.0,0.0,,0.0,0,0,100,0.0,True
sec_hist_overlap,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.0,0.0,,0.0,0,0,100,0.0,True
sec_hist_overlap,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.0,0.0,,0.0,0,0,100,0.0,True
sec_similarity_nmse,HHO-VC,MO-BDA-EHHO-VC,-1.6106942990479212e-06,2221.0,0.2959070922839476,0.12039603960396039,49,51,0,1.0,False
sec_similarity_nmse,EHHO-VC,MO-BDA-EHHO-VC,-3.3885960219470768e-06,2292.0,0.42305657051311696,0.09227722772277228,48,52,0,1.0,False
sec_similarity_nmse,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,7.757154541043754e-06,2386.0,0.6327020543587233,0.05504950495049505,51,49,0,1.0,False
sec_similarity_nmse,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,2.8742744522247676e-06,2240.0,0.3271243358754563,0.11287128712871287,52,48,0,1.0,False
rob_seen_central_delta_nmse,HHO-VC,MO-BDA-EHHO-VC,-5.532131700354548e-06,2290.5,0.4200769397278029,-0.09287128712871287,47,53,0,1.0,False
rob_seen_central_delta_nmse,EHHO-VC,MO-BDA-EHHO-VC,3.508181078269723e-06,2273.0,0.3862384237086183,0.09980198019801981,52,48,0,1.0,False
rob_seen_central_delta_nmse,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,-7.016362156567202e-06,2346.0,0.538249379432436,-0.07089108910891088,46,54,0,1.0,False
rob_seen_central_delta_nmse,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,-4.722551451515067e-06,2432.5,0.7504504096929221,-0.03663366336633663,47,53,0,1.0,False
rob_unseen_delta_nmse,HHO-VC,MO-BDA-EHHO-VC,-7.927139936483862e-06,2011.5,0.07746571313084778,-0.20336633663366335,42,58,0,0.23239713939254336,False
rob_unseen_delta_nmse,EHHO-VC,MO-BDA-EHHO-VC,-9.782428006734067e-06,1869.0,0.024099281208859156,-0.2598019801980198,41,59,0,0.09639712483543662,False
rob_unseen_delta_nmse,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,-7.89340742611555e-06,2063.5,0.11255905388202064,-0.18277227722772277,44,56,0,0.23239713939254336,False
rob_unseen_delta_nmse,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,-2.698600829430242e-06,2098.0,0.14205948812602384,-0.16910891089108912,43,57,0,0.23239713939254336,False
rob_allfamilies_delta_nmse,HHO-VC,MO-BDA-EHHO-VC,-9.094284795202467e-06,2015.0,0.07950816520634653,-0.201980198019802,41,59,0,0.3180326608253861,False
rob_allfamilies_delta_nmse,EHHO-VC,MO-BDA-EHHO-VC,-5.559117708664463e-06,2062.0,0.11139614013838042,-0.18336633663366336,40,60,0,0.3341884204151413,False
rob_allfamilies_delta_nmse,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,-1.8350485640195036e-06,2363.0,0.5775212553357554,-0.06415841584158416,49,51,0,0.5775212553357554,False
rob_allfamilies_delta_nmse,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,-3.02243292896881e-06,2164.5,0.2151540889319521,-0.14277227722772276,46,54,0,0.4303081778639042,False
